sent;sentcorrect;level
Durch Merkmale wie die Erwähnung des Märchens und der natürlichen Landschaft, sowie die feste Form ist das Gedicht ganz klar der Romantik zuzuordnen.;Durch Merkmale wie die Erwähnung des Märchens und der natürlichen Landschaft, sowie durch die feste Form ist das Gedicht ganz klar der Romantik zuzuordnen.;2
Ein Ort wo es zu Verbrechen kommt, wo man sich fürchtet.;Ein Ort, wo es zu Verbrechen kommt, wo man sich fürchtet.;1
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;2
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denkt, sie habe sich verlaufen.;1
Für die Kunstwelt Eichendorff ist von der Nutzung des Waldbildes geprägt.;Die Kunstwelt von Eichendorff ist von der Nutzung des Waldbildes geprägt.;3
Die Kunstwelt von Eichendorff ist geprägt von der Nutzung des Waldbildes.;Die Kunstwelt von Eichendorff ist von der Nutzung des Waldbildes geprägt.;1
Es handelt von einem Schiffer der seine Augen nicht von einer Frau nehmen kann, welche auf dem Felsen sitzt und er dadurch einen Schiffsbruch erleidet.;Es handelt von einem Schiffer, der seine Augen nicht von einer Frau nehmen kann, welche auf dem Felsen sitzt und er dadurch einen Schiffsbruch erleidet.;1
Dann liefen zwei Barça in die Arena.;Dann liefen zwei Leoparden in die Arena.;2
Sie wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;Man wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;3
Man wollte das blutige Spektakel wissen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;Man wollte das blutige Spektakel sehen, aber der weise Löwe unterwarf sich nicht und benahm sich sehr edel.;3
Er sah ihre Erschütterung, Herzlosigkeit, den Wunsch, die Gefühle des Verliebten zu spielen.;Er sah ihre Erschütterung, Herzlosigkeit, den Wunsch, mit den Gefühlen des Verliebten zu spielen.;2
Das Reimschema von Der Handschuh ist wechselnd (Schweifreim, Kreuz- und Paarreime).;Das Reimschema von Dem Handschuh ist wechselnd (Schweifreim, Kreuz- und Paarreime).;2
In dem Gedicht Waldgespräch von Josef von Eichendorff geht es hauptsächliche um das Labyrinthische und Mystische des Waldes.;In dem Gedicht Waldgespräch von Josef von Eichendorff geht es hauptsächlich um das Labyrinthische und Mystische des Waldes.;2
Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und ein Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;Inhaltlich geht es in dem Gedicht um die Hexe Lorelei und einen Mann, der nicht weiter benannt wird, welche ein Gespräch im Wald führen, bei dem zu Beginn der Mann der Hexe Hilfe anbietet, da er denk, sie habe sich verlaufen.;2
Die Handlung ist dynamisch auch (Es gibt viele ausrufe Sätzen).;Die Handlung ist dynamisch auch (Es gibt viele Ausrufesätze).;3
Die Handlung dieser Geschichte spielt im Mittelalter (Ritterzeit), im Frankreich.;Die Handlung dieser Geschichte spielt in Mittelalter (Ritterzeit), im Frankreich.;1
Die Zuschauer waren die Großen der Krone.;Die Zuschauer sind die Großen der Krone.;1
Sie haben großen Spaß, an den Kampf zwischen Löwen, Tigern und Leoparden zu beobachten.;Sie haben großen Spaß, den Kampf zwischen Löwen, Tigern und Leoparden zu beobachten.;2
Delorges steigt in die Arena, hebt den Handschuh, aber zurück, wirft der Ritter einen Handschuh seiner Auserwählten ins Gesicht.;Delorges steigt in die Arena, hebt den Handschuh, aber zurück, wirft der Ritter den Handschuh seiner Auserwählten ins Gesicht.;1
Er tritt mit mehrere Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;1
Er tritt mit mehreren Vorlesungen im Auslan d. Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;2
Er tritt mit mehreren Vorlesungen im Auslan vor d Wo ist das Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;1
Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist den Gastgeschenk?;Er tritt mit mehreren Vorlesungen im Auslan vor d. Wo ist das Gastgeschenk?;2
Jeder erinnert sich gerne an Ihre Gastfreundschaft Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;Jeder erinnert sich gerne an Ihre Gastfreundschaft. Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;1
Jeder erinnert sich gerne an Ihre Gastfreundschaft Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;Jeder erinnert sich gerne an Ihre Gastfreundschaft. Der Orchester gab ein schönes Gastkonzert in Rom. Das Konzert eröffnete der Gastdirigen t Das Ballett des Bolschoi-Theaters unternahm eine Gasttournee nach Frankreich.;1
Das Seminar wird von einem Gastdozenten geleitet;Das Seminar wird von einem Gastdozenten geleitet.;1
3 Sätzen die wichtigsten Informationen über die dritte Einwanderungswelle.;In 3 Sätzen die wichtigsten Informationen über die dritte Einwanderungswelle.;2
Gastprofessors, m – Vorlesungen von Gastprofessoren werden oft an unserer Universität gehalte n Gastvorlesungen, f - Unser Dozent hält oft Gastvorlesungen im Ausland.;Gastprofessors, m – Vorlesungen von Gastprofessoren werden oft an unserer Universität gehalte. n Gastvorlesungen, f - Unser Dozent hält oft Gastvorlesungen im Ausland.;1
Gastspiel, n - Während der Gastspiel waren Sie in 10 Ländern.;Gastspiel, n - Während des Gastspiels waren Sie in 10 Ländern.;2
Wo ein Gastgeschenk?;Wo ist ein Gastgeschenk?;3
Alle mit Vergnügen erinnern Sie sich an Ihre Gastfreundschaft.;Alle erinnern sich mit Vergnügen an Ihre Gastfreundschaft.;2
Das Orchester gab einen schönen Gastkonzert in Rom.;Das Orchester gab ein schönes Gastkonzert in Rom.;2
Ballett des Bolschoi-Theat er s er machte eine Gastspielreise nach Frankreich.;Ballett des Bolschoi-Theat s er machte eine Gastspielreise nach Frankreich.;2
Seminar führt der Gastdozent.;Das Seminar führt der Gastdozent.;1
Bekannte Professoren und junge Wissenschaftler werden an die Arbeit heranziehen.;Bekannte Professoren und junge Wissenschaftler werden an die Arbeit herangezogen.;3
Wir mussten weitermachen, was bereits erreicht wurde.;Wir mussten das weitermachen, was bereits erreicht wurde.;2
Viele geladene Gasthörer waren im Saal.;Viele eingeladene Gasthörer waren im Saal.;2
Der Gastprofessor wird zwei Tage an unserer Universität teilnehmen.;Der Gastprofessor wird zwei Tage an wissenschaftlichen Treffen in unserer Universität teilnehmen..;2
Morgen wird auf der Bühne unseres Theaters eines Gastspiel stattfinden.;Morgen wird auf der Bühne unseres Theaters ein Gastspiel stattfinden.;2
#14 1.Wann werden die Vorlesungen des zu uns Gastprofessor stattfinden?;#14 1.Wann werden die Vorlesungen des zu uns angekommenen Gastprofessor stattfinden?;2
Das Orchester gab ein schönes Konzert in Rom (als Gastspiel).?;Das Orchester gab ein schönes Konzert in Rom (als Gastspiel).;2
Im Publikum Nummer 238 wird heute ein Gastdozent auftreten!;Im Raum Nummer 238 wird heute ein Gastdozent auftreten!;3
Es wird die Gasthörer auf deinem Auftritt sein, aber sie sind genauso Studenten wie du.;Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du.;3
Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du. bist;Zu deinem Auftritt kommen auch Gasthörer, aber sie sind genauso Studenten wie du.;1
Jetzt hatten wir eine Gastvorlesung von einem Gastprofessor!;Wir hatten gerade eine Gastvorlesung von einem Gastprofessor!;1
Wir hatten gerade eine Gastvorlesung von dem Gastprofessor!;Wir hatten gerade eine Gastvorlesung von einem Gastprofessor!;1
Er hat die mehrere Vorträge im Ausland.;Er hat mehrere Vorträge im Ausland.;1
Das Ballett des Bolschoi-Theaters unternehmen eine Gastspielreise nach Frankreich.;Das Ballett des Bolschoi-Theaters unternimmt eine Gastspielreise nach Frankreich.;2
Das Seminar wird von einem Gastdozenten geleitet.;Das Seminar wird von einem einem Gastdozenten geleitet.;1
Das Seminar wird von einem Gastdozent geleitet.;Das Seminar wird von einem einem Gastdozenten geleitet.;1
Sein Kollege Olli hat sich einen Hund gekauft und überlässt den Welpen Benno.;Sein Kollege Olli hat sich einen Hund gekauft und den Welpen Benno überlassen.;2
Will sich vielleicht.;Er Will sich vielleicht.;3
Er Will sich vlt.;Er Will sich vielleicht.;3
Rudi braucht das Geld für sein Studium, Felix will genauso wie Olli eine Reise unternehmen, vlt.;Rudi braucht das Geld für sein Studium, Felix will genauso wie Olli eine Reise unternehmen, vielleicht.;3
Ich denke, dass er eintweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;Ich denke, dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;1
